feature,shap_importance
범죄발생지,0.31063733243244307
소관경찰서,0.07704893542478458
소관지역,0.05693363546493917
월,0.003257514937200756
요일,0.000591830654380768
시간,0.0
사건발생거리,0.0
강수량(mm),0.0
풍향,0.0
안개,0.0
번개,0.0
진눈깨비,0.0
서리,0.0
연기/연무,0.0
