feature,shap_importance
범죄발생지,0.9600428
소관경찰서,0.3882921
소관지역,0.24806742
요일,0.120358825
사건발생거리,0.11101872
시간,0.10058682
월,0.07459813
풍향,0.054364428
강수량(mm),0.048966512
연기/연무,0.016547747
번개,0.0068215965
안개,0.0051492723
서리,0.004576137
진눈깨비,0.0038910662
