iter	Passed	Remaining
409	4546	6542
410	4556	6530
411	4566	6517
412	4577	6505
413	4587	6493
414	4597	6480
415	4607	6468
416	4617	6455
417	4627	6442
418	4637	6430
419	4649	6420
420	4659	6408
421	4670	6397
422	4680	6384
423	4691	6373
424	4702	6361
425	4714	6352
426	4726	6342
427	4736	6330
428	4747	6318
429	4759	6308
430	4769	6296
431	4780	6284
432	4790	6272
433	4800	6261
434	4812	6250
435	4823	6239
436	4834	6228
437	4844	6215
438	4854	6203
439	4865	6192
440	4877	6182
441	4888	6171
442	4900	6161
443	4913	6152
444	4924	6142
445	4935	6130
446	4945	6118
447	4956	6107
448	4966	6095
449	4977	6083
450	4988	6072
451	4999	6060
452	5009	6049
453	5020	6037
454	5030	6026
455	5041	6014
456	5051	6002
457	5061	5990
458	5073	5979
459	5083	5967
460	5093	5955
461	5106	5946
462	5119	5937
463	5133	5929
464	5145	5919
465	5156	5908
466	5167	5897
467	5177	5885
468	5188	5874
469	5199	5863
470	5209	5851
471	5220	5839
472	5230	5827
473	5240	5815
474	5252	5805
475	5262	5793
476	5274	5782
477	5286	5772
478	5297	5762
479	5308	5751
480	5319	5740
481	5332	5731
482	5344	5720
483	5355	5709
484	5366	5697
485	5377	5687
486	5388	5676
487	5400	5665
488	5411	5655
489	5423	5645
490	5434	5634
491	5447	5624
492	5457	5612
493	5469	5602
494	5482	5593
495	5494	5583
496	5505	5572
497	5516	5560
498	5528	5550
499	5560	5560
500	5573	5550
501	5582	5538
502	5594	5527
503	5606	5517
504	5617	5506
505	5629	5495
506	5640	5484
507	5650	5472
508	5661	5461
509	5672	5449
510	5683	5438
511	5694	5427
512	5704	5415
513	5715	5403
514	5726	5393
515	5738	5382
516	5751	5372
517	5761	5361
518	5773	5350
519	5784	5339
520	5794	5327
521	5805	5316
522	5818	5306
523	5830	5296
524	5841	5285
525	5853	5274
526	5864	5263
527	5875	5252
528	5886	5240
529	5896	5229
530	5907	5218
531	5918	5206
532	5930	5195
533	5940	5184
534	5953	5174
535	5965	5164
536	5976	5152
537	5986	5140
538	5997	5129
539	6008	5117
540	6018	5106
541	6029	5094
542	6040	5083
543	6050	5072
544	6062	5061
545	6072	5049
546	6083	5038
547	6094	5026
548	6106	5016
549	6117	5005
550	6129	4994
551	6139	4982
552	6152	4972
553	6164	4962
554	6174	4951
555	6185	4939
556	6197	4928
557	6208	4918
558	6218	4906
559	6230	4895
560	6241	4883
561	6251	4872
562	6262	4860
563	6272	4848
564	6283	4837
565	6294	4826
566	6304	4814
567	6315	4803
568	6325	4791
569	6337	4780
570	6348	4769
571	6360	4759
572	6371	4748
573	6382	4736
574	6393	4725
575	6404	4714
576	6414	4702
577	6426	4691
578	6437	4680
579	6448	4669
580	6459	4658
581	6471	4648
582	6482	4636
583	6494	4626
584	6505	4615
585	6517	4604
586	6528	4593
587	6539	4582
588	6550	4570
589	6562	4560
590	6575	4550
591	6587	4539
592	6598	4528
593	6609	4517
594	6620	4506
595	6631	4495
596	6642	4484
597	6654	4473
598	6665	4461
599	6676	4450
600	6687	4439
601	6699	4429
602	6709	4417
603	6720	4406
604	6731	4395
605	6742	4383
606	6753	4372
607	6766	4362
608	6777	4351
609	6789	4340
610	6800	4329
611	6811	4318
612	6821	4306
613	6831	4294
614	6843	4283
615	6853	4272
616	6865	4261
617	6876	4250
618	6887	4239
619	6898	4228
620	6910	4217
621	6920	4205
622	6930	4194
623	6941	4182
624	6953	4172
625	6965	4161
626	6976	4150
627	6988	4139
628	6999	4128
629	7010	4117
630	7020	4105
631	7031	4094
632	7042	4082
633	7053	4072
634	7065	4061
635	7076	4049
636	7087	4038
637	7098	4027
638	7109	4016
639	7119	4004
640	7130	3993
641	7140	3982
642	7151	3970
643	7163	3960
644	7176	3949
645	7206	3948
646	7217	3938
647	7228	3926
648	7240	3915
649	7250	3904
650	7260	3892
651	7271	3881
652	7283	3870
653	7294	3859
654	7305	3847
655	7316	3836
656	7326	3825
657	7337	3813
658	7348	3802
659	7358	3790
660	7369	3779
661	7379	3767
662	7391	3757
663	7402	3745
664	7414	3735
665	7425	3723
666	7436	3712
667	7446	3701
668	7457	3689
669	7468	3678
670	7478	3667
671	7490	3655
672	7502	3645
673	7513	3634
674	7523	3622
675	7535	3611
676	7547	3600
677	7557	3589
678	7568	3577
679	7578	3566
680	7590	3555
681	7600	3543
682	7612	3532
683	7622	3521
684	7634	3510
685	7645	3499
686	7655	3488
687	7666	3476
688	7677	3465
689	7687	3453
690	7697	3442
691	7708	3430
692	7718	3419
693	7729	3407
694	7740	3396
695	7750	3385
696	7761	3374
697	7772	3362
698	7783	3351
699	7793	3340
700	7804	3329
701	7816	3318
702	7829	3307
703	7841	3296
704	7851	3285
705	7862	3274
706	7873	3262
707	7883	3251
708	7893	3239
709	7905	3228
710	7915	3217
711	7927	3206
712	7937	3195
713	7947	3183
714	7958	3172
715	7968	3160
716	7979	3149
717	7990	3138
718	8001	3127
719	8011	3115
720	8025	3105
721	8037	3094
722	8048	3083
723	8059	3072
724	8070	3061
725	8081	3050
726	8092	3039
727	8104	3028
728	8115	3016
729	8124	3004
730	8135	2993
731	8146	2982
732	8156	2971
733	8168	2960
734	8180	2949
735	8191	2938
736	8202	2926
737	8212	2915
738	8226	2905
739	8237	2894
740	8248	2883
741	8258	2871
742	8269	2860
743	8280	2849
744	8291	2837
745	8302	2826
746	8313	2815
747	8323	2804
748	8335	2793
749	8345	2781
750	8356	2770
751	8368	2759
752	8378	2748
753	8390	2737
754	8400	2726
755	8413	2715
756	8425	2704
757	8436	2693
758	8476	2691
759	8491	2681
760	8501	2670
761	8512	2658
762	8523	2647
763	8533	2636
764	8545	2625
765	8556	2613
766	8568	2602
767	8579	2591
768	8590	2580
769	8600	2569
770	8611	2557
771	8623	2546
772	8634	2535
773	8666	2530
774	8679	2519
775	8690	2508
776	8702	2497
777	8714	2486
778	8724	2475
779	8736	2464
780	8747	2452
781	8757	2441
782	8768	2430
783	8778	2418
784	8788	2407
785	8799	2395
786	8810	2384
787	8822	2373
788	8832	2362
789	8844	2350
790	8856	2340
791	8867	2328
792	8877	2317
793	8887	2305
794	8897	2294
795	8908	2282
796	8918	2271
797	8929	2260
798	8940	2249
799	8953	2238
800	8965	2227
801	8975	2215
802	8986	2204
803	8997	2193
804	9007	2181
805	9018	2170
806	9029	2159
807	9040	2148
808	9052	2137
809	9063	2126
810	9073	2114
811	9084	2103
812	9095	2092
813	9106	2080
814	9116	2069
815	9127	2058
816	9137	2046
817	9148	2035
818	9158	2024
819	9169	2012
820	9180	2001
821	9190	1990
822	9201	1979
823	9212	1967
824	9224	1956
825	9235	1945
826	9246	1934
827	9258	1923
828	9268	1911
829	9280	1900
830	9291	1889
831	9302	1878
832	9312	1867
833	9322	1855
834	9332	1844
835	9343	1832
836	9353	1821
837	9363	1810
838	9374	1798
839	9385	1787
840	9396	1776
841	9407	1765
842	9417	1753
843	9428	1742
