iter	MultiClass
137	0.951490583
138	0.9513365982
139	0.9511294849
140	0.9509969877
141	0.95079535
142	0.9506147649
143	0.9504352571
144	0.9503109091
145	0.9501041082
146	0.9499444177
147	0.9497417721
148	0.9496270768
149	0.949476202
150	0.9493412916
151	0.9491952644
152	0.9490070309
153	0.9488761397
154	0.9487013389
155	0.9485274289
156	0.9484230725
157	0.9482099041
158	0.9480894528
159	0.9479487941
160	0.9477612357
161	0.9476438973
162	0.9475117104
163	0.9473561923
164	0.9472433476
165	0.9470407526
166	0.9469129582
167	0.9467698007
168	0.9466340163
169	0.946528811
170	0.9463680873
171	0.9461477758
172	0.9459822504
173	0.9457986481
174	0.9456627619
175	0.9454970111
176	0.9453514745
177	0.9451378927
178	0.9449285493
179	0.944783692
180	0.9446668523
181	0.9445162708
182	0.9443679881
183	0.9442253573
184	0.9441191772
185	0.9439848475
186	0.9438810492
187	0.9436888988
188	0.9435355906
189	0.9434036328
190	0.9432393512
191	0.9430855939
192	0.9429974407
193	0.9428992696
194	0.9427947602
195	0.9426566461
196	0.942519195
197	0.9423711499
198	0.9421723285
199	0.9419428733
200	0.9417839381
201	0.9416273188
202	0.9415693944
203	0.9414135166
204	0.9412359076
205	0.9410231234
206	0.9408515333
207	0.9407127332
208	0.940591054
209	0.940432825
210	0.9403002794
211	0.9401106772
212	0.9399366592
213	0.9397694346
214	0.9396279268
215	0.9394769888
216	0.9393660549
217	0.9392084286
218	0.9390395037
219	0.938930199
220	0.9388179438
221	0.9386550534
222	0.9384491177
223	0.9383826246
224	0.9382703199
225	0.9381006235
226	0.9379856327
227	0.9378518267
228	0.9377445261
229	0.937597621
230	0.9374756026
231	0.9373614877
232	0.9371833178
233	0.9370391923
234	0.9369004807
235	0.9367606654
236	0.9366390858
237	0.9364860138
238	0.9361989853
239	0.936026025
240	0.9358437705
241	0.9357159749
242	0.9356065577
243	0.9354484361
244	0.9353164161
245	0.9351578993
246	0.9350308938
247	0.9349262313
248	0.9347990846
249	0.9346205581
250	0.9344583769
251	0.9343559724
252	0.934240244
253	0.9341210971
254	0.933992056
255	0.9338850929
256	0.9337752868
257	0.9336276675
258	0.9335298977
259	0.9333186735
260	0.933195311
261	0.9330630683
262	0.9328399599
263	0.9327178453
264	0.9325580766
265	0.9324357279
266	0.9323239131
267	0.932198116
268	0.9320732703
269	0.9319414163
270	0.9317710157
271	0.9316684372
272	0.9316023936
273	0.9315137554
274	0.9314001706
275	0.9312220515
276	0.9311403598
277	0.931021352
278	0.9309301884
279	0.9307850399
280	0.9306773832
281	0.9305710528
282	0.9304052458
283	0.9302453613
284	0.9301545596
285	0.9300796166
286	0.9300113941
287	0.92988612
288	0.9297757744
289	0.9296480917
290	0.9295271447
291	0.9293899657
292	0.929312559
293	0.9291376376
294	0.9289720243
295	0.9288578037
296	0.9287419299
297	0.9286146878
298	0.9285036401
299	0.9284390559
300	0.9283024492
301	0.9281874732
302	0.928092739
303	0.928005111
304	0.9278438306
305	0.927736736
306	0.927624579
307	0.9275107067
308	0.9274009041
309	0.9273173502
310	0.9271800467
311	0.9270094342
312	0.926877963
313	0.926786151
314	0.92664337
315	0.9264966887
316	0.9263667874
317	0.926247569
318	0.926134382
319	0.9259789303
320	0.9258745546
321	0.925755173
322	0.9256015981
323	0.9254815206
324	0.9253449849
325	0.9252177294
326	0.9250719503
327	0.9249931398
328	0.924896832
329	0.92477376
330	0.9246595749
331	0.9245355217
332	0.9244223916
333	0.9242746413
334	0.9241701044
335	0.9240802609
336	0.9239508158
337	0.92379755
338	0.9237169902
339	0.9235646074
340	0.923482476
341	0.9233703501
342	0.9232649377
343	0.9231242464
344	0.9230154411
345	0.9228933639
346	0.9228065969
347	0.9227123011
348	0.9225852623
349	0.9224805264
350	0.9223675807
351	0.9222887825
352	0.9222179715
353	0.922074544
354	0.9219916322
355	0.9218448247
356	0.921733693
357	0.9216496964
358	0.9215359591
359	0.9214038745
360	0.9212519109
361	0.9210806976
362	0.9209786765
363	0.9208916156
364	0.9207748501
365	0.9206921281
366	0.9205641528
367	0.9204780858
368	0.9203870415
369	0.9202521432
370	0.9201339389
371	0.9200456956
372	0.919918436
373	0.9198024495
374	0.919684891
375	0.9195781237
376	0.9194119878
377	0.9193058658
378	0.9192290975
379	0.9191634607
380	0.9190786254
381	0.9189111514
382	0.9187728862
383	0.9186703394
384	0.9185115164
385	0.9184167854
386	0.918346167
387	0.9182163983
388	0.9181198143
389	0.9180211083
390	0.9179107551
391	0.9178009473
392	0.9176909019
393	0.9175814452
394	0.917508069
395	0.9174121475
396	0.9172419771
397	0.9171423616
398	0.9170086061
399	0.9169232807
400	0.9168004304
401	0.9166374048
402	0.9165150977
403	0.9163889064
404	0.9162749098
405	0.9162091196
406	0.9161053203
407	0.9160135221
408	0.9159254954
409	0.9158482449
410	0.9157393519
411	0.9156169133
412	0.9155120694
413	0.9154277048
414	0.915331153
415	0.9152187082
416	0.9151542307
417	0.9150707379
418	0.9149857263
419	0.9148244797
420	0.9147235052
421	0.9145959018
422	0.9145072955
423	0.9143864077
424	0.9142874341
425	0.914118133
426	0.9140509969
427	0.9139303029
428	0.9137988374
429	0.9136951529
430	0.9135956341
431	0.9135119271
432	0.9134156645
433	0.9133381143
434	0.9132038051
435	0.9130610559
436	0.9129532149
437	0.9128435027
438	0.9127443698
439	0.912627787
440	0.9125498557
441	0.9124582585
442	0.912268031
443	0.912149825
444	0.9120807587
445	0.9119512883
446	0.9118106122
447	0.9116818441
448	0.9116091198
449	0.911507916
450	0.9114021963
451	0.911325567
452	0.9112226737
453	0.9111510848
454	0.9110365568
455	0.9109190048
456	0.9107854267
457	0.9107116448
458	0.9105662523
459	0.9104395913
460	0.9103303273
461	0.9101771549
462	0.9100849836
463	0.9099562314
464	0.9098633872
465	0.9097414865
466	0.9095750963
467	0.9095097776
468	0.9093872965
469	0.9093194017
470	0.9092392328
471	0.9090946367
472	0.9090347213
473	0.9089725571
474	0.9088854221
475	0.9087927122
476	0.9086935744
477	0.9085925435
478	0.9084603745
479	0.9083682559
480	0.9082400364
481	0.9081196416
482	0.9080384475
483	0.9079692965
484	0.9079020807
485	0.9077690284
486	0.9076820244
487	0.9075739209
488	0.9074344311
489	0.9073226949
490	0.9072200323
491	0.9071362438
492	0.9070442257
493	0.9069486607
494	0.9068505332
495	0.906743606
496	0.906612478
497	0.9065210158
498	0.9064119339
499	0.9062699628
500	0.9061737144
501	0.9060872705
502	0.9059904285
503	0.9058775818
504	0.905763581
505	0.905682175
506	0.9055607628
507	0.9053968449
508	0.9053142856
509	0.9052469621
510	0.9051194092
511	0.9050384017
512	0.9049375739
513	0.9048458847
514	0.904713329
515	0.9046390568
516	0.9044659872
517	0.9043519618
518	0.9042428625
519	0.9041064115
520	0.9040141711
521	0.9039205294
522	0.9038521342
523	0.9037436441
524	0.903660175
525	0.9035870615
526	0.9034979666
527	0.9033940065
528	0.9032844742
529	0.9031658185
530	0.9030519827
531	0.9029571321
532	0.9028460158
533	0.9027407442
534	0.9026325293
535	0.9025084627
536	0.9024455752
537	0.9023840478
538	0.9022873873
539	0.9021645884
540	0.9020948881
541	0.9019616971
542	0.9018298734
543	0.9017656339
544	0.9016897334
545	0.9016198968
546	0.9015277086
547	0.901439018
548	0.9013364759
549	0.9012034118
550	0.9010976042
551	0.9010105016
552	0.9009018038
553	0.9008433762
554	0.9007838966
555	0.9007177441
556	0.9006273174
557	0.9005636762
558	0.9004824599
559	0.9003813717
560	0.9002939543
561	0.900163323
562	0.9000445393
563	0.8999565681
564	0.8998651113
565	0.8997944968
566	0.8997236136
567	0.8996186879
568	0.8995270617
569	0.899443082
570	0.8993145417
571	0.8992400988
572	0.8991168366
573	0.8990028106
574	0.8988817979
575	0.8987841407
576	0.8987134017
577	0.8986159813
578	0.8984534172
579	0.8983732792
580	0.8982768152
581	0.8981418651
582	0.8980536641
583	0.8979135343
584	0.8978015134
585	0.8976551232
586	0.897547673
587	0.8974495392
588	0.8973390515
589	0.8972211672
590	0.8970822026
591	0.8969638437
592	0.8968570972
593	0.8967483023
594	0.8966055631
595	0.8965242484
596	0.8964223741
597	0.8963317425
598	0.8962800707
599	0.896187093
600	0.8960907984
601	0.8959758436
602	0.8958656777
603	0.8957686682
604	0.8956614178
605	0.8956060749
606	0.8954863744
607	0.8953664598
608	0.8952752373
609	0.8951901631
610	0.8950870314
611	0.8949541139
612	0.8948506539
613	0.894780504
614	0.8946785316
615	0.8945854905
616	0.8945151162
617	0.8944038981
618	0.8942729123
619	0.8941383914
620	0.8940313788
621	0.893959746
622	0.8938887912
623	0.8937831976
624	0.8937060263
625	0.8936077209
626	0.8935175686
627	0.8933951285
628	0.8933334703
629	0.8932411245
630	0.893124061
631	0.8930528887
632	0.8929746225
633	0.8928615539
634	0.8927858105
635	0.8927423098
636	0.8926594786
637	0.8925593707
638	0.8924660769
639	0.8923624396
640	0.8922325365
641	0.8921548686
642	0.8920489647
643	0.8919731157
644	0.8918661521
645	0.8917899278
646	0.8916903567
647	0.8916151958
648	0.8915044662
649	0.8914481186
650	0.8913674384
651	0.8912966441
652	0.8911729986
653	0.8911217344
654	0.8909958701
655	0.8908629768
656	0.8907699308
657	0.8906727839
658	0.8905943494
659	0.8905003671
660	0.8904231313
661	0.8903790905
662	0.8902592781
663	0.8901613959
664	0.8900613852
665	0.8899824616
666	0.8899270098
667	0.8898340839
668	0.8897460098
669	0.889676912
670	0.8895864114
671	0.889514256
672	0.8894102853
673	0.8893293989
674	0.889274838
675	0.8892109567
676	0.8890966531
677	0.888984197
678	0.8889109344
679	0.8887926094
680	0.8886851838
681	0.8885820497
682	0.8884837493
683	0.8884073137
684	0.8882681105
685	0.8881969639
686	0.8881247172
687	0.888036567
688	0.8879511146
689	0.8878867688
690	0.887822253
691	0.8877648882
692	0.8876856155
693	0.887610522
694	0.8875092204
695	0.887386075
696	0.8873278331
697	0.8872288261
698	0.8871241972
699	0.88701503
700	0.8869157405
701	0.8868404301
702	0.8867434456
703	0.8866322949
704	0.8865315802
705	0.8864296616
706	0.8863672254
707	0.8863200476
708	0.8862195343
709	0.8860827484
710	0.8860144265
711	0.885902321
712	0.8858060924
713	0.8857504408
714	0.8856793923
715	0.8855450964
716	0.8854583401
717	0.8853582652
718	0.8852537736
719	0.8852096096
720	0.8851382078
721	0.8850729313
722	0.8850010176
723	0.8848960096
724	0.8847626814
725	0.8846412367
726	0.8845482045
727	0.8844480973
728	0.8843799282
729	0.8843279885
730	0.8842075328
731	0.8841474546
732	0.8840350062
733	0.8839288376
734	0.8837894891
735	0.8836823024
736	0.8835934062
737	0.8834907533
738	0.8834040378
739	0.8833228928
740	0.8832101012
741	0.8831225704
742	0.8830095103
743	0.8829111747
744	0.8828157818
745	0.8827427122
746	0.8826281666
747	0.8825529594
748	0.8824552861
749	0.882339328
750	0.8822270789
751	0.8821309184
752	0.8820738144
753	0.8819672368
754	0.8818636356
755	0.8817531255
756	0.8816976687
757	0.881637652
758	0.8815539589
759	0.8814621578
760	0.8813327825
761	0.8812741424
762	0.8811872575
763	0.8811064976
764	0.8809693368
765	0.8808918457
766	0.8807816019
767	0.8806934523
768	0.8805973555
769	0.8805136564
770	0.8804513086
771	0.8803670437
772	0.8802922453
773	0.8801564007
774	0.8800913418
775	0.8799913893
776	0.8798822827
777	0.8797929989
778	0.8797170031
779	0.8796263959
780	0.8795228744
781	0.8794595726
782	0.8793570246
783	0.879251104
784	0.8791629397
785	0.879073135
786	0.8789763691
787	0.8788899493
788	0.878827636
789	0.8787510917
790	0.8786724629
791	0.8786023948
792	0.878491167
793	0.8783959766
794	0.8783054622
795	0.878231106
796	0.8781545579
797	0.8780884114
798	0.8779965764
799	0.8778813834
800	0.8778122601
801	0.8777445432
802	0.8776395297
803	0.8775450615
804	0.8774236577
805	0.8773327598
806	0.8772282435
807	0.8771598258
808	0.8771103495
809	0.8770414222
810	0.8769584984
811	0.876880617
812	0.8767576466
813	0.8767150804
814	0.8766463684
815	0.8765520909
816	0.8764399876
817	0.876346382
818	0.8762745281
819	0.876192071
820	0.8761228047
821	0.8760341924
822	0.8759283059
823	0.875850618
824	0.8757406056
825	0.8756465875
826	0.8755468333
827	0.875465027
828	0.8753721553
829	0.8752524129
830	0.8751853579
831	0.875088347
832	0.8749846125
833	0.8749446117
834	0.8748485919
835	0.8747875902
836	0.8747152086
837	0.8746575805
838	0.8745818436
839	0.8744763622
840	0.8743536761
841	0.8742664233
842	0.8741772499
843	0.8740800535
844	0.8740028279
845	0.8738931206
846	0.8738150964
847	0.8737192782
848	0.8736539831
849	0.8735589096
850	0.8734984495
851	0.8734249025
852	0.8732854523
853	0.8732029412
854	0.8730748919
855	0.8729850258
856	0.8728846311
857	0.8727995032
858	0.8727385586
859	0.8726125333
860	0.8725376386
861	0.8724377664
862	0.8723446478
863	0.8722612993
864	0.8721756225
865	0.8720972663
866	0.8720342401
867	0.8719592517
868	0.8718814244
869	0.8718168469
870	0.8717163135
871	0.8716414329
872	0.871556651
873	0.8714883062
874	0.871405536
875	0.8712957819
876	0.871199448
877	0.8711378389
878	0.8710514351
879	0.8709661796
880	0.8708956628
881	0.8708355483
882	0.8707392692
883	0.8706569024
884	0.8705452737
885	0.8704712524
886	0.8703942142
887	0.8703366855
888	0.870297509
889	0.8702303654
890	0.8701485171
891	0.8700732368
892	0.8699461428
893	0.8698913909
894	0.8698284403
895	0.869766902
896	0.8696949922
897	0.8696389371
898	0.8695457294
899	0.8694518745
900	0.869376508
901	0.8693061662
902	0.8692066414
903	0.8691668485
904	0.8691131022
905	0.8690310345
906	0.8689660629
907	0.8688988406
908	0.868754952
909	0.8686643545
910	0.8685964696
911	0.8685136033
912	0.8684240769
913	0.8683382208
914	0.8682773877
915	0.8681959541
916	0.8681150808
917	0.8680352844
918	0.8679776102
919	0.8679199724
920	0.8678474363
921	0.8677397563
922	0.8676544653
923	0.8675551504
924	0.8674293291
925	0.8673581491
926	0.867262585
927	0.867183313
928	0.8671085303
929	0.8670608153
930	0.8670038514
931	0.866875312
932	0.8667820262
933	0.866697727
934	0.8665950775
935	0.8664668798
936	0.866426176
937	0.8663616679
938	0.8663015777
939	0.8662319371
940	0.8661110071
941	0.8659669179
942	0.8658975478
943	0.8658053186
944	0.8657379732
945	0.8656361235
946	0.8655548645
947	0.8654842081
948	0.8654133515
949	0.8653322674
950	0.8652947291
951	0.8652223054
952	0.8651691699
953	0.8650961907
954	0.865010779
955	0.8649597973
956	0.8648965041
957	0.8648158303
958	0.8647656474
959	0.8646320325
960	0.8645316663
961	0.8644219029
962	0.8643318319
963	0.8642369759
964	0.8641767103
965	0.8641103202
966	0.8640206895
967	0.8639524291
968	0.8638140714
969	0.8636927905
970	0.863613513
971	0.8635114114
972	0.8634209686
973	0.8633234335
974	0.8632527235
975	0.8631591006
976	0.8630771846
977	0.8629747371
978	0.8628623998
979	0.8628119838
980	0.8627468935
981	0.8626517202
982	0.8625842674
983	0.8625051859
984	0.8624566811
985	0.8624017117
986	0.862343944
987	0.8622298382
988	0.8621641294
989	0.8621071577
990	0.8620481591
991	0.8619879966
992	0.8619064536
993	0.8618106843
994	0.8617522709
995	0.8616505549
996	0.8615639123
997	0.861494055
998	0.8614051586
999	0.8612995246
